id_group,id_category,name_category,shortname_category,name,link,join_mode,no_members,rating,city,lat,lon,state,country,number_of_events,first_event_time,last_event_time,max_yes_at_one_event,no_member_who_ever_rsvpd_yes,created,time_bin,time_bin_year,sum_rsvp_yes_in_time_bin
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2006-02-01 00:00:00,2006-01-01 00:00:00,81
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2006-03-01 00:00:00,2006-01-01 00:00:00,70
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2006-04-01 00:00:00,2006-01-01 00:00:00,73
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2006-05-01 00:00:00,2006-01-01 00:00:00,90
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2006-06-01 00:00:00,2006-01-01 00:00:00,124
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2006-07-01 00:00:00,2006-01-01 00:00:00,131
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2006-08-01 00:00:00,2006-01-01 00:00:00,100
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2006-09-01 00:00:00,2006-01-01 00:00:00,117
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2006-10-01 00:00:00,2006-01-01 00:00:00,96
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2006-11-01 00:00:00,2006-01-01 00:00:00,78
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2006-12-01 00:00:00,2006-01-01 00:00:00,144
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2007-01-01 00:00:00,2007-01-01 00:00:00,110
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2007-02-01 00:00:00,2007-01-01 00:00:00,143
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2007-03-01 00:00:00,2007-01-01 00:00:00,131
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2007-04-01 00:00:00,2007-01-01 00:00:00,109
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2007-05-01 00:00:00,2007-01-01 00:00:00,146
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2007-06-01 00:00:00,2007-01-01 00:00:00,181
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2007-07-01 00:00:00,2007-01-01 00:00:00,101
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2007-08-01 00:00:00,2007-01-01 00:00:00,115
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2007-09-01 00:00:00,2007-01-01 00:00:00,160
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2007-10-01 00:00:00,2007-01-01 00:00:00,100
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2007-11-01 00:00:00,2007-01-01 00:00:00,144
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2007-12-01 00:00:00,2007-01-01 00:00:00,94
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2008-01-01 00:00:00,2008-01-01 00:00:00,132
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2008-02-01 00:00:00,2008-01-01 00:00:00,222
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2008-03-01 00:00:00,2008-01-01 00:00:00,263
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2008-04-01 00:00:00,2008-01-01 00:00:00,193
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2008-05-01 00:00:00,2008-01-01 00:00:00,162
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2008-06-01 00:00:00,2008-01-01 00:00:00,136
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2008-07-01 00:00:00,2008-01-01 00:00:00,120
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2008-08-01 00:00:00,2008-01-01 00:00:00,141
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2008-09-01 00:00:00,2008-01-01 00:00:00,137
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2008-10-01 00:00:00,2008-01-01 00:00:00,199
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2008-11-01 00:00:00,2008-01-01 00:00:00,128
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2008-12-01 00:00:00,2008-01-01 00:00:00,69
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2009-01-01 00:00:00,2009-01-01 00:00:00,245
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2009-02-01 00:00:00,2009-01-01 00:00:00,163
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2009-03-01 00:00:00,2009-01-01 00:00:00,188
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2009-04-01 00:00:00,2009-01-01 00:00:00,126
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2009-05-01 00:00:00,2009-01-01 00:00:00,167
145951,16,language/ethnic identity,language,The New York Spanish Language Meetup,http://www.meetup.com/spanishconversation/,open,9312,4.65,New York,40.75,-73.9800033569336,NY,US,751,2004-09-21 23:00:00,2014-09-05 22:30:00,128,4287,2002-10-01 00:00:00,2009-06-01 00:00:00,2009-01-01 00:00:00,155
