id_group,time_bin,sum
10134052,2014-01-01 00:00:00,92
10134842,2013-01-01 00:00:00,3
10134842,2014-01-01 00:00:00,7
10135062,2013-01-01 00:00:00,20
10135062,2014-01-01 00:00:00,43
10135122,2013-01-01 00:00:00,41
10135122,2014-01-01 00:00:00,25
10135892,2013-01-01 00:00:00,36
10135892,2014-01-01 00:00:00,403
10136302,2013-01-01 00:00:00,6
10136502,2013-01-01 00:00:00,7
10136502,2014-01-01 00:00:00,18
10136642,2013-01-01 00:00:00,1
10136642,2014-01-01 00:00:00,2
10137732,2013-01-01 00:00:00,3
10139152,2013-01-01 00:00:00,56
10139152,2014-01-01 00:00:00,275
10140622,2013-01-01 00:00:00,36
10140622,2014-01-01 00:00:00,2
10146472,2013-01-01 00:00:00,10
10146472,2014-01-01 00:00:00,5
10148902,2013-01-01 00:00:00,21
10149942,2013-01-01 00:00:00,20
10149942,2014-01-01 00:00:00,24
10150282,2013-01-01 00:00:00,32
10150282,2014-01-01 00:00:00,107
10151202,2013-01-01 00:00:00,110
10151202,2014-01-01 00:00:00,166
10155732,2013-01-01 00:00:00,22
10155732,2014-01-01 00:00:00,80
10160092,2013-01-01 00:00:00,1
10160312,2013-01-01 00:00:00,1
10163292,2013-01-01 00:00:00,28
10163712,2013-01-01 00:00:00,37
10163712,2014-01-01 00:00:00,35
10164872,2014-01-01 00:00:00,8
10170182,2013-01-01 00:00:00,13
10173332,2013-01-01 00:00:00,15
10176592,2014-01-01 00:00:00,68
10181862,2013-01-01 00:00:00,3
10184242,2013-01-01 00:00:00,168
10185062,2013-01-01 00:00:00,24
10187072,2013-01-01 00:00:00,17
10187072,2014-01-01 00:00:00,36
10187892,2013-01-01 00:00:00,25
10187892,2014-01-01 00:00:00,29
10188152,2013-01-01 00:00:00,21
10188152,2014-01-01 00:00:00,9
1018827,2008-01-01 00:00:00,18
1018827,2009-01-01 00:00:00,8
1018827,2010-01-01 00:00:00,0
1018827,2011-01-01 00:00:00,45
1018827,2012-01-01 00:00:00,85
1018827,2013-01-01 00:00:00,325
1018827,2014-01-01 00:00:00,170
10188922,2013-01-01 00:00:00,46
10188922,2014-01-01 00:00:00,143
10194692,2013-01-01 00:00:00,9
10194752,2013-01-01 00:00:00,108
10194752,2014-01-01 00:00:00,16
10194952,2013-01-01 00:00:00,12
10194952,2014-01-01 00:00:00,183
10197392,2013-01-01 00:00:00,1
10197392,2014-01-01 00:00:00,2
10202722,2013-01-01 00:00:00,23
10202722,2014-01-01 00:00:00,25
10203032,2013-01-01 00:00:00,111
10203032,2014-01-01 00:00:00,107
10203352,2013-01-01 00:00:00,10
10203352,2014-01-01 00:00:00,15
10210242,2013-01-01 00:00:00,5
10210242,2014-01-01 00:00:00,14
10212792,2013-01-01 00:00:00,25
10212792,2014-01-01 00:00:00,29
10217012,2013-01-01 00:00:00,23
10217252,2013-01-01 00:00:00,43
10217252,2014-01-01 00:00:00,78
10219432,2013-01-01 00:00:00,2
10220082,2013-01-01 00:00:00,45
10220082,2014-01-01 00:00:00,196
10221832,2013-01-01 00:00:00,9
10221832,2014-01-01 00:00:00,6
10228922,2013-01-01 00:00:00,77
10228922,2014-01-01 00:00:00,11
10230692,2013-01-01 00:00:00,2
10231462,2013-01-01 00:00:00,1
10231462,2014-01-01 00:00:00,6
10231492,2013-01-01 00:00:00,12
10231492,2014-01-01 00:00:00,88
10231682,2014-01-01 00:00:00,16
10231942,2013-01-01 00:00:00,11
10231942,2014-01-01 00:00:00,35
10231982,2014-01-01 00:00:00,324
10234862,2013-01-01 00:00:00,32
10234862,2014-01-01 00:00:00,8
10236592,2013-01-01 00:00:00,31
10236592,2014-01-01 00:00:00,30
10236942,2013-01-01 00:00:00,8
1023734,2008-01-01 00:00:00,111
1023734,2009-01-01 00:00:00,92
1023734,2010-01-01 00:00:00,108
1023734,2011-01-01 00:00:00,47
10238522,2013-01-01 00:00:00,97
10238522,2014-01-01 00:00:00,124
1024118,2008-01-01 00:00:00,419
1024118,2009-01-01 00:00:00,498
1024118,2010-01-01 00:00:00,276
1024118,2011-01-01 00:00:00,79
1024118,2013-01-01 00:00:00,271
10242422,2013-01-01 00:00:00,10
10242422,2014-01-01 00:00:00,20
10244972,2013-01-01 00:00:00,2
1024681,2008-01-01 00:00:00,111
1024681,2009-01-01 00:00:00,146
