name_category,shortname_category,sum,avg,time_bin
fine arts/culture,arts-culture,7894.0,157.88,2011-01-01 00:00:00
fine arts/culture,arts-culture,13726.0,193.32394366197184,2012-01-01 00:00:00
fine arts/culture,arts-culture,22054.0,229.72916666666666,2013-01-01 00:00:00
fine arts/culture,arts-culture,20813.0,136.03267973856208,2014-01-01 00:00:00
fitness,fitness,94.0,23.5,2006-01-01 00:00:00
fitness,fitness,306.0,38.25,2007-01-01 00:00:00
fitness,fitness,1080.0,60.0,2008-01-01 00:00:00
fitness,fitness,5133.0,135.07894736842104,2009-01-01 00:00:00
fitness,fitness,12162.0,190.03125,2010-01-01 00:00:00
fitness,fitness,22621.0,269.29761904761904,2011-01-01 00:00:00
fitness,fitness,41358.0,356.5344827586207,2012-01-01 00:00:00
fitness,fitness,59786.0,351.6823529411765,2013-01-01 00:00:00
fitness,fitness,51100.0,178.0487804878049,2014-01-01 00:00:00
food/drink,food-drink,67.0,11.166666666666666,2004-01-01 00:00:00
food/drink,food-drink,836.0,64.3076923076923,2005-01-01 00:00:00
food/drink,food-drink,1781.0,61.41379310344828,2006-01-01 00:00:00
food/drink,food-drink,4185.0,113.10810810810811,2007-01-01 00:00:00
food/drink,food-drink,6259.0,127.73469387755102,2008-01-01 00:00:00
food/drink,food-drink,7998.0,131.11475409836066,2009-01-01 00:00:00
food/drink,food-drink,9943.0,130.82894736842104,2010-01-01 00:00:00
food/drink,food-drink,13463.0,138.79381443298968,2011-01-01 00:00:00
food/drink,food-drink,21123.0,166.3228346456693,2012-01-01 00:00:00
food/drink,food-drink,33791.0,206.04268292682926,2013-01-01 00:00:00
food/drink,food-drink,26015.0,125.67632850241546,2014-01-01 00:00:00
games,games,35.0,7.0,2004-01-01 00:00:00
games,games,147.0,29.4,2005-01-01 00:00:00
games,games,455.0,45.5,2006-01-01 00:00:00
games,games,1091.0,72.73333333333333,2007-01-01 00:00:00
games,games,2532.0,97.38461538461539,2008-01-01 00:00:00
games,games,5349.0,162.0909090909091,2009-01-01 00:00:00
games,games,6561.0,177.32432432432432,2010-01-01 00:00:00
games,games,7557.0,160.7872340425532,2011-01-01 00:00:00
games,games,12249.0,194.42857142857142,2012-01-01 00:00:00
games,games,26633.0,271.765306122449,2013-01-01 00:00:00
games,games,20709.0,156.88636363636363,2014-01-01 00:00:00
health/wellbeing,health-wellbeing,5.0,1.6666666666666667,2004-01-01 00:00:00
health/wellbeing,health-wellbeing,62.0,10.333333333333334,2005-01-01 00:00:00
health/wellbeing,health-wellbeing,331.0,25.46153846153846,2006-01-01 00:00:00
health/wellbeing,health-wellbeing,1302.0,48.22222222222222,2007-01-01 00:00:00
health/wellbeing,health-wellbeing,2841.0,56.82,2008-01-01 00:00:00
health/wellbeing,health-wellbeing,4719.0,69.3970588235294,2009-01-01 00:00:00
health/wellbeing,health-wellbeing,7490.0,76.42857142857143,2010-01-01 00:00:00
health/wellbeing,health-wellbeing,12519.0,84.58783783783784,2011-01-01 00:00:00
health/wellbeing,health-wellbeing,20671.0,99.3798076923077,2012-01-01 00:00:00
health/wellbeing,health-wellbeing,32635.0,117.8158844765343,2013-01-01 00:00:00
health/wellbeing,health-wellbeing,28490.0,70.0,2014-01-01 00:00:00
hobbies/crafts,hobbies-crafts,8.0,2.6666666666666665,2004-01-01 00:00:00
hobbies/crafts,hobbies-crafts,86.0,21.5,2005-01-01 00:00:00
hobbies/crafts,hobbies-crafts,654.0,65.4,2006-01-01 00:00:00
hobbies/crafts,hobbies-crafts,2284.0,134.35294117647058,2007-01-01 00:00:00
hobbies/crafts,hobbies-crafts,4382.0,168.53846153846155,2008-01-01 00:00:00
hobbies/crafts,hobbies-crafts,4421.0,170.03846153846155,2009-01-01 00:00:00
hobbies/crafts,hobbies-crafts,6315.0,185.73529411764707,2010-01-01 00:00:00
hobbies/crafts,hobbies-crafts,7444.0,165.42222222222222,2011-01-01 00:00:00
hobbies/crafts,hobbies-crafts,8355.0,167.1,2012-01-01 00:00:00
hobbies/crafts,hobbies-crafts,9598.0,143.2537313432836,2013-01-01 00:00:00
hobbies/crafts,hobbies-crafts,7748.0,87.0561797752809,2014-01-01 00:00:00
language/ethnic identity,language,180.0,15.0,2004-01-01 00:00:00
language/ethnic identity,language,1325.0,73.61111111111111,2005-01-01 00:00:00
language/ethnic identity,language,4795.0,129.59459459459458,2006-01-01 00:00:00
language/ethnic identity,language,8283.0,184.06666666666666,2007-01-01 00:00:00
language/ethnic identity,language,9456.0,155.01639344262296,2008-01-01 00:00:00
language/ethnic identity,language,10199.0,122.87951807228916,2009-01-01 00:00:00
language/ethnic identity,language,12502.0,131.6,2010-01-01 00:00:00
language/ethnic identity,language,17652.0,145.88429752066116,2011-01-01 00:00:00
language/ethnic identity,language,35438.0,216.08536585365854,2012-01-01 00:00:00
language/ethnic identity,language,50808.0,239.66037735849056,2013-01-01 00:00:00
language/ethnic identity,language,39796.0,147.94052044609666,2014-01-01 00:00:00
LGBT,lgbt,24.0,12.0,2006-01-01 00:00:00
LGBT,lgbt,32.0,16.0,2007-01-01 00:00:00
LGBT,lgbt,339.0,56.5,2008-01-01 00:00:00
LGBT,lgbt,966.0,120.75,2009-01-01 00:00:00
LGBT,lgbt,1555.0,97.1875,2010-01-01 00:00:00
LGBT,lgbt,3243.0,147.4090909090909,2011-01-01 00:00:00
LGBT,lgbt,6167.0,150.41463414634146,2012-01-01 00:00:00
LGBT,lgbt,10662.0,183.82758620689654,2013-01-01 00:00:00
LGBT,lgbt,8893.0,115.49350649350649,2014-01-01 00:00:00
literature/writing,literature-writing,6.0,3.0,2004-01-01 00:00:00
literature/writing,literature-writing,33.0,11.0,2005-01-01 00:00:00
literature/writing,literature-writing,89.0,17.8,2006-01-01 00:00:00
literature/writing,literature-writing,648.0,49.84615384615385,2007-01-01 00:00:00
literature/writing,literature-writing,1500.0,55.55555555555556,2008-01-01 00:00:00
literature/writing,literature-writing,3321.0,87.39473684210526,2009-01-01 00:00:00
literature/writing,literature-writing,4680.0,91.76470588235294,2010-01-01 00:00:00
literature/writing,literature-writing,5548.0,88.06349206349206,2011-01-01 00:00:00
literature/writing,literature-writing,8744.0,96.08791208791209,2012-01-01 00:00:00
literature/writing,literature-writing,15544.0,135.16521739130434,2013-01-01 00:00:00
literature/writing,literature-writing,14056.0,82.19883040935673,2014-01-01 00:00:00
movements/politics,government-politics,56.0,28.0,2003-01-01 00:00:00
movements/politics,government-politics,73.0,9.125,2004-01-01 00:00:00
movements/politics,government-politics,261.0,23.727272727272727,2005-01-01 00:00:00
movements/politics,government-politics,325.0,27.083333333333332,2006-01-01 00:00:00
movements/politics,government-politics,1922.0,73.92307692307692,2007-01-01 00:00:00
movements/politics,government-politics,2633.0,90.79310344827586,2008-01-01 00:00:00
movements/politics,government-politics,4184.0,104.6,2009-01-01 00:00:00
movements/politics,government-politics,3193.0,69.41304347826087,2010-01-01 00:00:00
movements/politics,government-politics,6240.0,111.42857142857143,2011-01-01 00:00:00
movements/politics,government-politics,7513.0,123.1639344262295,2012-01-01 00:00:00
movements/politics,government-politics,8417.0,116.90277777777777,2013-01-01 00:00:00
movements/politics,government-politics,7193.0,87.71951219512195,2014-01-01 00:00:00
movies/film,movies-film,18.0,6.0,2004-01-01 00:00:00
movies/film,movies-film,324.0,108.0,2005-01-01 00:00:00
movies/film,movies-film,803.0,89.22222222222223,2006-01-01 00:00:00
movies/film,movies-film,1470.0,105.0,2007-01-01 00:00:00
movies/film,movies-film,2209.0,96.04347826086956,2008-01-01 00:00:00
movies/film,movies-film,3143.0,95.24242424242425,2009-01-01 00:00:00
movies/film,movies-film,3793.0,108.37142857142857,2010-01-01 00:00:00
movies/film,movies-film,5766.0,120.125,2011-01-01 00:00:00
movies/film,movies-film,13390.0,202.87878787878788,2012-01-01 00:00:00
movies/film,movies-film,13623.0,162.17857142857142,2013-01-01 00:00:00
movies/film,movies-film,11176.0,108.50485436893204,2014-01-01 00:00:00
music,music,2.0,1.0,2004-01-01 00:00:00
music,music,12.0,3.0,2005-01-01 00:00:00
music,music,398.0,33.166666666666664,2006-01-01 00:00:00
music,music,1556.0,59.84615384615385,2007-01-01 00:00:00
music,music,2974.0,78.26315789473684,2008-01-01 00:00:00
music,music,5796.0,111.46153846153847,2009-01-01 00:00:00
music,music,7547.0,121.7258064516129,2010-01-01 00:00:00
music,music,10451.0,125.91566265060241,2011-01-01 00:00:00
music,music,15871.0,158.71,2012-01-01 00:00:00
music,music,21161.0,152.23741007194243,2013-01-01 00:00:00
music,music,15713.0,84.93513513513514,2014-01-01 00:00:00
new age/spirituality,new-age-spirituality,39.0,5.571428571428571,2004-01-01 00:00:00
new age/spirituality,new-age-spirituality,295.0,22.692307692307693,2005-01-01 00:00:00
new age/spirituality,new-age-spirituality,767.0,51.13333333333333,2006-01-01 00:00:00
new age/spirituality,new-age-spirituality,1889.0,51.054054054054056,2007-01-01 00:00:00
new age/spirituality,new-age-spirituality,3064.0,58.92307692307692,2008-01-01 00:00:00
new age/spirituality,new-age-spirituality,4927.0,66.58108108108108,2009-01-01 00:00:00
new age/spirituality,new-age-spirituality,7138.0,72.83673469387755,2010-01-01 00:00:00
new age/spirituality,new-age-spirituality,9195.0,76.625,2011-01-01 00:00:00
new age/spirituality,new-age-spirituality,13144.0,84.8,2012-01-01 00:00:00
new age/spirituality,new-age-spirituality,22231.0,107.39613526570048,2013-01-01 00:00:00
new age/spirituality,new-age-spirituality,19007.0,66.45804195804196,2014-01-01 00:00:00
outdoors/adventure,outdoors-adventure,52.0,26.0,2005-01-01 00:00:00
outdoors/adventure,outdoors-adventure,961.0,73.92307692307692,2006-01-01 00:00:00
outdoors/adventure,outdoors-adventure,2662.0,121.0,2007-01-01 00:00:00
outdoors/adventure,outdoors-adventure,5113.0,134.55263157894737,2008-01-01 00:00:00
outdoors/adventure,outdoors-adventure,10640.0,163.69230769230768,2009-01-01 00:00:00
outdoors/adventure,outdoors-adventure,16835.0,207.8395061728395,2010-01-01 00:00:00
outdoors/adventure,outdoors-adventure,22923.0,204.66964285714286,2011-01-01 00:00:00
outdoors/adventure,outdoors-adventure,33904.0,238.7605633802817,2012-01-01 00:00:00
outdoors/adventure,outdoors-adventure,46177.0,253.71978021978023,2013-01-01 00:00:00
outdoors/adventure,outdoors-adventure,34824.0,154.08849557522123,2014-01-01 00:00:00
paranormal,paranormal,17.0,17.0,2008-01-01 00:00:00
paranormal,paranormal,103.0,103.0,2009-01-01 00:00:00
paranormal,paranormal,140.0,140.0,2010-01-01 00:00:00
paranormal,paranormal,113.0,56.5,2011-01-01 00:00:00
paranormal,paranormal,233.0,58.25,2012-01-01 00:00:00
paranormal,paranormal,317.0,79.25,2013-01-01 00:00:00
paranormal,paranormal,275.0,55.0,2014-01-01 00:00:00
parents/family,parents-family,1.0,1.0,2006-01-01 00:00:00
parents/family,parents-family,112.0,14.0,2007-01-01 00:00:00
parents/family,parents-family,1129.0,75.26666666666667,2008-01-01 00:00:00
parents/family,parents-family,2275.0,78.44827586206897,2009-01-01 00:00:00
parents/family,parents-family,2883.0,65.52272727272727,2010-01-01 00:00:00
parents/family,parents-family,4082.0,66.91803278688525,2011-01-01 00:00:00
parents/family,parents-family,9781.0,95.8921568627451,2012-01-01 00:00:00
parents/family,parents-family,15721.0,105.51006711409396,2013-01-01 00:00:00
parents/family,parents-family,13253.0,66.93434343434343,2014-01-01 00:00:00
pets/animals,pets-animals,41.0,5.125,2004-01-01 00:00:00
pets/animals,pets-animals,287.0,28.7,2005-01-01 00:00:00
pets/animals,pets-animals,1007.0,47.95238095238095,2006-01-01 00:00:00
pets/animals,pets-animals,2016.0,77.53846153846153,2007-01-01 00:00:00
pets/animals,pets-animals,3303.0,100.0909090909091,2008-01-01 00:00:00
pets/animals,pets-animals,3282.0,93.77142857142857,2009-01-01 00:00:00
pets/animals,pets-animals,3943.0,98.575,2010-01-01 00:00:00
pets/animals,pets-animals,4767.0,97.28571428571429,2011-01-01 00:00:00
pets/animals,pets-animals,5745.0,117.24489795918367,2012-01-01 00:00:00
pets/animals,pets-animals,6310.0,116.85185185185185,2013-01-01 00:00:00
pets/animals,pets-animals,4532.0,66.6470588235294,2014-01-01 00:00:00
photography,photography,31.0,10.333333333333334,2004-01-01 00:00:00
photography,photography,302.0,100.66666666666667,2005-01-01 00:00:00
photography,photography,441.0,73.5,2006-01-01 00:00:00
photography,photography,1171.0,167.28571428571428,2007-01-01 00:00:00
photography,photography,1665.0,151.36363636363637,2008-01-01 00:00:00
photography,photography,3001.0,157.94736842105263,2009-01-01 00:00:00
photography,photography,4876.0,139.31428571428572,2010-01-01 00:00:00
photography,photography,7115.0,154.67391304347825,2011-01-01 00:00:00
photography,photography,8898.0,161.78181818181818,2012-01-01 00:00:00
photography,photography,9241.0,128.34722222222223,2013-01-01 00:00:00
photography,photography,7639.0,79.57291666666667,2014-01-01 00:00:00
religion/beliefs,religion-beliefs,37.0,6.166666666666667,2004-01-01 00:00:00
religion/beliefs,religion-beliefs,134.0,22.333333333333332,2005-01-01 00:00:00
religion/beliefs,religion-beliefs,662.0,55.166666666666664,2006-01-01 00:00:00
religion/beliefs,religion-beliefs,1924.0,76.96,2007-01-01 00:00:00
religion/beliefs,religion-beliefs,3703.0,112.21212121212122,2008-01-01 00:00:00
religion/beliefs,religion-beliefs,4816.0,107.02222222222223,2009-01-01 00:00:00
religion/beliefs,religion-beliefs,6684.0,128.53846153846155,2010-01-01 00:00:00
religion/beliefs,religion-beliefs,8939.0,135.43939393939394,2011-01-01 00:00:00
religion/beliefs,religion-beliefs,12207.0,140.31034482758622,2012-01-01 00:00:00
religion/beliefs,religion-beliefs,15688.0,113.68115942028986,2013-01-01 00:00:00
religion/beliefs,religion-beliefs,13056.0,82.11320754716981,2014-01-01 00:00:00
sci-fi/fantasy,sci-fi-fantasy,57.0,9.5,2004-01-01 00:00:00
sci-fi/fantasy,sci-fi-fantasy,296.0,49.333333333333336,2005-01-01 00:00:00
sci-fi/fantasy,sci-fi-fantasy,491.0,70.14285714285714,2006-01-01 00:00:00
sci-fi/fantasy,sci-fi-fantasy,787.0,98.375,2007-01-01 00:00:00
sci-fi/fantasy,sci-fi-fantasy,2124.0,193.0909090909091,2008-01-01 00:00:00
sci-fi/fantasy,sci-fi-fantasy,2684.0,206.46153846153845,2009-01-01 00:00:00
sci-fi/fantasy,sci-fi-fantasy,3308.0,236.28571428571428,2010-01-01 00:00:00
sci-fi/fantasy,sci-fi-fantasy,4112.0,216.42105263157896,2011-01-01 00:00:00
sci-fi/fantasy,sci-fi-fantasy,5041.0,229.13636363636363,2012-01-01 00:00:00
sci-fi/fantasy,sci-fi-fantasy,7639.0,254.63333333333333,2013-01-01 00:00:00
sci-fi/fantasy,sci-fi-fantasy,7436.0,200.97297297297297,2014-01-01 00:00:00
singles,singles,11.0,11.0,2005-01-01 00:00:00
singles,singles,153.0,19.125,2006-01-01 00:00:00
singles,singles,1647.0,102.9375,2007-01-01 00:00:00
singles,singles,3787.0,151.48,2008-01-01 00:00:00
singles,singles,5108.0,111.04347826086956,2009-01-01 00:00:00
singles,singles,7303.0,115.92063492063492,2010-01-01 00:00:00
singles,singles,9988.0,144.7536231884058,2011-01-01 00:00:00
singles,singles,16697.0,196.43529411764706,2012-01-01 00:00:00
singles,singles,28600.0,236.36363636363637,2013-01-01 00:00:00
singles,singles,29134.0,183.23270440251574,2014-01-01 00:00:00
socializing,socializing,48.0,5.333333333333333,2004-01-01 00:00:00
socializing,socializing,803.0,38.23809523809524,2005-01-01 00:00:00
socializing,socializing,2664.0,61.95348837209303,2006-01-01 00:00:00
socializing,socializing,8716.0,110.32911392405063,2007-01-01 00:00:00
socializing,socializing,15108.0,126.95798319327731,2008-01-01 00:00:00
socializing,socializing,26969.0,166.47530864197532,2009-01-01 00:00:00
socializing,socializing,33297.0,175.24736842105264,2010-01-01 00:00:00
socializing,socializing,46427.0,189.49795918367346,2011-01-01 00:00:00
socializing,socializing,83900.0,276.8976897689769,2012-01-01 00:00:00
socializing,socializing,119316.0,310.71875,2013-01-01 00:00:00
socializing,socializing,96317.0,188.119140625,2014-01-01 00:00:00
sports/recreation,sports-recreation,19.0,6.333333333333333,2004-01-01 00:00:00
sports/recreation,sports-recreation,123.0,17.571428571428573,2005-01-01 00:00:00
sports/recreation,sports-recreation,845.0,52.8125,2006-01-01 00:00:00
sports/recreation,sports-recreation,2764.0,95.3103448275862,2007-01-01 00:00:00
sports/recreation,sports-recreation,7056.0,138.35294117647058,2008-01-01 00:00:00
sports/recreation,sports-recreation,11773.0,183.953125,2009-01-01 00:00:00
sports/recreation,sports-recreation,22012.0,282.20512820512823,2010-01-01 00:00:00
sports/recreation,sports-recreation,33203.0,342.29896907216494,2011-01-01 00:00:00
sports/recreation,sports-recreation,60427.0,413.8835616438356,2012-01-01 00:00:00
